WHIST-20260615.00,Jeux,Donneur,Annonces de la partie [WHIST-20260615],Points,JiPé,JiJi,Robi,José,Francis,JMarc
WHIST-20260615.01,1,Robi,EMBALLAGE 12 ( JiJi + JMarc ),8,0,8,0,-8,-8,8
WHIST-20260615.02,2,JMarc,Abondance Double ( Francis ),36,0,-4,-12,-20,28,8
