 
WHIST-20260527.00,Jeux,Donneur,Annonces de la partie [WHIST-20260527],Points,JiPé,JiJi,Robi,José,Francis,JMarc
WHIST-20260629.05,5,Francis,[6] EMBALLAGE 9 (JiJi+Robi),5,0,-116,88,30,28,-30,6
WHIST-20260629.06,6,José,[61] 1-G.Misere Gagnee (Robi),24,0,-124,112,30,20,-38,61
WHIST-20260629.07,7,Robi,[45] Seul 6 (Francis),6,0,-126,112,28,26,-40,45
WHIST-20260629.08,8,Francis,[51] Seul 7+1 (José),12,0,-130,108,40,26,-44,51
WHIST-20260629.09,9,Francis,[27] EMBALLAGE 11-1 (Robi+JMarc),-16,0,-114,92,56,26,-60,27
WHIST-20260629.10,10,Robi,[28] EMBALLAGE 11-2 (JiJi+Francis),-18,0,-132,92,74,8,-42,28
WHIST-20260629.11,11,José,[56] Seul 8-2 (Francis),-18,0,-126,98,74,-10,-36,56
WHIST-20260629.12,12,Robi,[4] EMBALLAGE 8+3 (Francis+JMarc),7,0,-133,98,67,-3,-29,4
WHIST-20260629.13,13,JMarc,[59] 1-P.Misere Gagnee (José),12,0,-137,94,79,-7,-29,59
WHIST-20260629.14,14,JiJi,[68] Abondance-10 Perdue (JMarc),-48,0,-137,110,95,9,-77,68
WHIST-20260629.15,15,JiJi,[9] EMBALLAGE 9+3 (Robi+JMarc),8,0,-137,118,87,1,-69,9
WHIST-20260629.16,16,JiJi,[43] 2-GM/Trou Perdues (Robi+Francis),-96,0,-137,22,183,-95,27,43
WHIST-20260629.17,17,JiJi,[41] Trou-9 Perdu (Robi+JMarc),-24,0,-137,-2,207,-71,3,41
WHIST-20260629.18,18,Francis,[50] Seul 7 (Robi),9,0,-140,7,204,-71,0,50
WHIST-20260629.19,19,JMarc,[23] EMBALLAGE 9-3 (JiJi+Robi),-16,0,-156,-9,220,-55,0,23
WHISTER.00,1,JiPé,Jean-Pierre BOURVIL
WHISTER.01,2,JiJi,Jean-Jacques ROUSSEAU
WHISTER.02,3,Robi,Robert DELON
WHISTER.03,4,José,José DEPARDIEU
WHISTER.04,5,Francis,Francis GABIN
WHISTER.05,6,JMarc,Jean-Marc BELMONDO
ANNONCES.00,1,EMBALLAGE,8,4,2
ANNONCES.01,2,EMBALLAGE,8+1,5,2
ANNONCES.02,3,EMBALLAGE,8+2,6,2
ANNONCES.03,4,EMBALLAGE,8+3,7,2
ANNONCES.04,5,EMBALLAGE,8+4,8,2
ANNONCES.05,6,EMBALLAGE,9,5,2
ANNONCES.06,7,EMBALLAGE,9+1,6,2
ANNONCES.07,8,EMBALLAGE,9+2,7,2
ANNONCES.08,9,EMBALLAGE,9+3,8,2
ANNONCES.09,10,EMBALLAGE,10,6,2
ANNONCES.10,11,EMBALLAGE,10+1,7,2
ANNONCES.11,12,EMBALLAGE,10+2,8,2
ANNONCES.12,13,EMBALLAGE,11,7,2
ANNONCES.13,14,EMBALLAGE,11+1,8,2
ANNONCES.14,15,EMBALLAGE,12,8,2
ANNONCES.15,16,EMBALLAGE,Double,12,2
ANNONCES.16,17,EMBALLAGE,8-1,-4,2
ANNONCES.17,18,EMBALLAGE,8-2,-8,2
ANNONCES.18,19,EMBALLAGE,8-3,-12,2
ANNONCES.19,20,EMBALLAGE,8-4,-16,2
ANNONCES.20,21,EMBALLAGE,9-1,-8,2
ANNONCES.21,22,EMBALLAGE,9-2,-12,2
ANNONCES.22,23,EMBALLAGE,9-3,-16,2
ANNONCES.23,24,EMBALLAGE,10-1,-12,2
ANNONCES.24,25,EMBALLAGE,10-2,-16,2
ANNONCES.25,26,EMBALLAGE,10-3,-18,2
ANNONCES.26,27,EMBALLAGE,11-1,-16,2
ANNONCES.27,28,EMBALLAGE,11-2,-18,2
ANNONCES.28,29,EMBALLAGE,12-1,-18,2
ANNONCES.29,30,2-P.Miseres,Gagnees,12,2
ANNONCES.30,31,2-P.Miseres,Perdues,-24,2
ANNONCES.31,32,2-P.Miseres,½ OK,-24,3
ANNONCES.32,33,2-G.Miseres,Gagnees,24,2
ANNONCES.33,34,2-G.Miseres,Perdues,-48,2
ANNONCES.34,35,2-G.Miseres,½ OK,-48,3
ANNONCES.35,36,Trou-8,8,8,2
ANNONCES.36,37,Trou-8,Double,12,2
ANNONCES.37,38,Trou-9,9,8,2
ANNONCES.38,39,Trou-9,Double,12,2
ANNONCES.39,40,Trou-8,Perdu,-24,2
ANNONCES.40,41,Trou-9,Perdu,-24,2
ANNONCES.41,42,2-GM/Trou,Gagnees,48,2
ANNONCES.42,43,2-GM/Trou,Perdues,-96,2
ANNONCES.43,44,2-GM/Trou,½ OK,-96,3
ANNONCES.44,45,Seul,6,6,1
ANNONCES.45,46,Seul,6+1,9,1
ANNONCES.46,47,Seul,6+2,12,1
ANNONCES.47,48,Seul,6-1,-9,1
